id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q107462639,Ron Caldwell,male,,,,,,Ron Caldwell
Q108268189,Wes Ward,male,,,,,,
Q108268215,Stacy Hurst,female,,,,,,
Q108268306,Becky Keogh,female,,,,,,
Q108268326,Solomon Graves,male,,,,,,
Q108268332,Johnny Key,male,,,,,,
Q108268340,Cindy Gillespie,female,,,,,,
Q108268347,Larry Walther,male,,,,,,
Q108268353,José R. Romero,male,,,,,,
Q108268357,Jami Cook,female,,,,,,
Q108268359,Nate Todd,male,,,,,,
Q108268361,Mike Preston,male,,,,,,
Q108268364,Kendall W. Penn,male,,,,,,
Q108268368,Elizabeth Thomas Smith,female,,,,,,
Q108268377,Daryl Bassett,male,,,,,,
Q108268383,Amy Fecher,female,,,,,,
Q108268512,Wendy Kelley,,,,,,,
Q108268521,Nathaniel Smith,,,,,,,
Q108268529,Mark H. Berry,,,,,,,
Q108649610,Breanne Davis,female,,,,,,Breanne Davis
Q108667116,Trent Garner,male,,,,,,Trent Garner
Q109228915,Dan Sullivan,male,,,,,,Dan Sullivan (Arkansas politician)
Q109282551,Ricky Hill,male,,,,,,Ricky Hill (politician)
Q110529618,Ben Gilmore,male,,,,,,Ben Gilmore
Q111976501,Renee Mallory,,,,,,,
Q112911945,Mitch Rouse,male,,,,,,
Q15378814,Alan Clark,male,1960-08-11,11,,,,
Q158813,Mike Huckabee,male,1955-08-24,11,,,Mike Huckabee by Gage Skidmore 2.jpg,Mike Huckabee
Q16105324,Jane English,female,1940-11-09,11,,,"Jane English, Arkansas Senator.jpg",Jane English (politician)
Q16107497,Bill Sample,male,1946-04-16,11,,,,Bill Sample
Q16150580,Gary Stubblefield,male,1951-02-28,11,,,,Gary Stubblefield
Q16164110,Bob Ballinger,male,1974-01-31,11,,,,Bob Ballinger
Q16186443,Terry Rice,male,1954,9,,,,Terry Rice
Q16186717,Keith Ingram,male,1955-04-12,11,,,,Keith Ingram
Q16189363,Andrea Lea,female,1957,9,,,,Andrea Lea
Q16192734,Kim Hammer,male,1958-08-11,11,,,,Kim Hammer
Q16192774,Lane Jean,male,1958-11-10,11,,,,Lane Jean
Q16195112,Jim Hendren,male,1963-08-12,11,,,,Jim Hendren
Q16196505,"Jimmy Hickey, Jr.",male,1966-11-05,11,,,,Jimmy Hickey Jr.
Q16197421,Bruce Westerman,male,1967-11-18,11,,,"Bruce Westerman, 115th official photo.jpg",Bruce Westerman
Q16200207,Mark Martin,male,1968-02-18,11,,,,Mark Martin (politician)
Q16208748,Jonathan Dismang,male,1979-07-30,11,,,,Jonathan Dismang
Q16213569,Missy Irvin,female,1971-02-12,11,,,,Missy Irvin
Q16214143,Jason Rapert,male,1972-04-03,11,,,,Jason Rapert
Q16216591,Bart Hester,male,1977-12,10,,,,Bart Hester
Q16217413,Greg Leding,male,1978-04-10,11,,,"Greg Leding, Springdale Rally 003.jpg",Greg Leding
Q16225149,James Hannah,male,1945,9,2016-01-14,11,,Jim Hannah
Q16241139,Linda Collins-Smith,female,1962-04-17,11,2019-06-02,11,,Linda Collins
Q16727985,Linda Chesterfield,female,1947-09-13,11,,,,Linda Chesterfield
Q16729027,Stephanie Flowers,female,1953-08-08,11,,,,Stephanie Flowers
Q16729833,David Hillman,male,1944,9,,,,David Hillman (politician)
Q16729870,Mike Holcomb,male,,,,,,Mike Holcomb (politician)
Q16730242,Jeff Wardlaw,male,1980-08-25,11,,,,Jeff Wardlaw
Q16730345,David Johnson,male,,7,,,,David Johnson (Arkansas politician)
Q16886050,Larry Teague,male,1958-03-11,11,,,,Larry Teague
Q16886111,Tommy Thompson,male,,,,,,Tommy Thompson (Arkansas politician)
Q16886405,John Walker,male,1937-06-03,11,2019-10-28,11,,John Walker (Arkansas politician)
Q17305924,Scott Flippo,male,1980,9,,,,Scott Flippo
Q18631237,Leslie Rutledge,female,1976-06-09,11,,,Leslie Rutledge (25475720912) (1).jpg,Leslie Rutledge
Q19818406,Mathew Pitsch,male,1963,9,,,,Mathew Pitsch
Q19896138,Mark McElroy,male,1956-01-16,11,,,,Mark McElroy (Arkansas politician)
Q20022464,DeAnn Vaught,female,1970,9,,,,DeAnn Vaught
Q20643217,James Sturch,male,1990-12-08,11,,,,James Sturch
Q21258911,John Thurston,male,1973,9,,,,John Thurston (politician)
Q2435200,Timothy Griffin,male,1968-08-21,11,,,Rep Tim Griffin Official Photo.jpg,Tim Griffin
Q27662996,Clarke Tucker,male,1981-01-20,11,,,Clarke Tucker High Resolution.jpg,Clarke Tucker
Q29453197,Danny Watson,male,,,,,,Danny Watson
Q361460,Mike Beebe,male,1946-12-28,11,,,Governor Mike Beebe.jpg,Mike Beebe
Q470755,Mark Pryor,male,1963-01-10,11,,,"Mark Pryor, head and shoulders photo portrait with flag, 2006.jpg",Mark Pryor
Q5056387,Cecile Bledsoe,female,1944-06-26,11,,,,Cecile Bledsoe
Q5084757,Charlie Daniels,male,1939-12-07,11,,,,Charlie Daniels (politician)
Q5233637,David Fielding,male,1955-06-20,11,,,David Fielding.jpg,David Fielding
Q58755305,Tommy Land,male,1955-08-18,11,,,,Tommy Land
Q6297471,Joyce Elliott,female,1951-03-20,11,,,Joyce Elliott 2010.jpg,Joyce Elliott
Q67168428,Betty Dickey,female,1940,9,,,,Betty Dickey
Q6770332,Mark Wilcox,male,,,,,,Mark Wilcox
Q6791218,Matthew Shepherd,male,1976-02-21,11,,,,Matthew Shepherd
Q715362,Mike Ross,male,1961-08-02,11,,,Official MR Headshot.JPG,Mike Ross (politician)
Q720121,Asa Hutchinson,male,1950-12-03,11,,,Asa Hutchinson crop.jpg,Asa Hutchinson
Q78365066,Carol Dalby,female,1975,9,,,,Carol Dalby
Q98924500,Sonia Eubanks Barker,female,,,,,,Sonia Eubanks Barker
